n,e1,e2,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
15,0.30,0.30,0.2164431405890163,0.7525000000000001,0.0036051280843845237,0.34966450190455534,0.275,0.4377091643795607,0.27978028659368936
20,0.30,0.30,0.18331579545748422,0.7224999999999999,0.003239218887882982,0.34097793054142517,0.325,0.5089525941360797,0.3409903771777695
25,0.30,0.30,0.18942477678603606,0.6725000000000001,0.005499607637106254,0.35453139802264616,0.25,0.5321209941002575,0.3624361768918016
30,0.30,0.30,0.19474792461649118,0.735,0.004287959077193479,0.35413666292067686,0.2375,0.49650683556412983,0.35167424652964663
35,0.30,0.30,0.18143874581372052,0.7374999999999999,0.00535815955301268,0.4012534040735624,0.3125,0.537532442982114,0.35776043422180226
5,0.10,0.60,0.2517731160960645,0.66,0.006370715246822423,0.5992325767500171,0.27499999999999997,0.625552302579302,0.38211278714673946
10,0.10,0.60,0.24641620839098746,0.6050000000000001,0.008195788750560734,0.4488587584537099,0.275,0.590858423000008,0.3580661065730559
15,0.10,0.60,0.2419637357561037,0.6900000000000001,0.008215465023658282,0.37620171711511163,0.21249999999999997,0.5315509280070478,0.34577004664891065
20,0.10,0.60,0.24863861598013823,0.7024999999999999,0.009527956637908914,0.36493895403576193,0.23749999999999996,0.5730335301499985,0.34544468450082133
25,0.10,0.60,0.2256538493347076,0.6825,0.007477012523636242,0.3774984349518534,0.2625,0.5688938364129517,0.3553626397497698
30,0.10,0.60,0.2161067893589627,0.595,0.011007026065367579,0.38757949576046696,0.2875,0.6393735494078394,0.3704712182728757
35,0.10,0.60,0.21765834922044505,0.7024999999999999,0.005183717524801722,0.3412277492245237,0.225,0.5012089013258222,0.3069783141802409
5,0.50,0.20,0.21534743876478749,0.7575,0.0011021338618280438,0.43617572459803444,0.175,0.33728899386765515,0.324211675877152
10,0.50,0.20,0.19051950166054005,0.76,0.0016907407868319954,0.371061459393543,0.275,0.4001304019145839,0.31345689861736836
15,0.50,0.20,0.18832141593628948,0.755,0.0034692950993650113,0.3933867120903526,0.2875,0.460483005148505,0.3185324110457821
20,0.50,0.20,0.17836003212383408,0.7375,0.0021856464749911908,0.43051528531370653,0.175,0.4572380163736874,0.3484194602548406
25,0.50,0.20,0.17368506574047574,0.7224999999999999,0.0037076013014788215,0.4429193131527798,0.3125,0.5120475800300699,0.35810180246726914
30,0.50,0.20,0.17821057275062646,0.74,0.003946158606105077,0.41498816408971473,0.275,0.44364376984092624,0.34907147505606595
35,0.50,0.20,0.17427920682692039,0.74,0.00565397889916631,0.43125263127328334,0.25,0.5426962661692928,0.3785023667153108
5,0.20,0.20,0.07450808344707216,0.3625,0.021188959590804426,3.7373460571357975,0.1125,0.9286674755662145,0.7591005638169628
